Datetime,Total_Load,Temperature,Humidity,WindSpeed,F1_132KV_PowerConsumption,F2_132KV_PowerConsumption,F3_132KV_PowerConsumption
2017-12-20 14:00:00,67933.647008,17.95,56.88,0.075,32413.68821,25793.18809,9726.770708
2017-12-20 14:10:00,67689.027384,17.73,57.18,0.078,32249.42966,25741.63854,9697.959184
2017-12-20 14:20:00,68147.662616,17.91,56.54,0.074,32371.10266,25899.96932,9876.590636
2017-12-20 14:30:00,67675.063816,17.86,55.44,0.077,32152.09125,25634.85732,9888.115246
2017-12-20 14:40:00,67575.527315,17.83,55.81,0.077,31987.8327,25958.88309,9628.811525
2017-12-20 14:50:00,67809.746,17.71,59.28,0.074,31890.4943,26330.77631,9588.47539
2017-12-20 15:00:00,67600.831316,17.62,60.75,0.074,31744.48669,26319.72998,9536.614646
2017-12-20 15:10:00,67578.68092700001,17.56,63.62,0.075,31641.06464,26084.07487,9853.541417
2017-12-20 15:20:00,67597.105908,17.43,64.62,0.072,31732.31939,26080.39276,9784.393758
2017-12-20 15:30:00,67072.201231,17.33,65.19,0.073,31519.39163,26010.43265,9542.376951
2017-12-20 15:40:00,66630.024976,17.33,65.22,0.073,31154.37262,25973.61154,9502.040816
2017-12-20 15:50:00,66110.52544699999,17.43,64.49,0.073,30941.44487,25690.08898,9478.991597
2017-12-20 16:00:00,66184.137204,17.33,65.19,0.075,30923.19392,25609.08254,9651.860744
2017-12-20 16:10:00,66279.917528,17.23,65.45,0.074,30977.94677,25903.65143,9398.319328
2017-12-20 16:20:00,66571.609788,17.28,67.06,0.074,31166.53992,26006.75054,9398.319328
2017-12-20 16:30:00,66992.020608,17.13,69.13,0.074,31458.55513,26146.67076,9386.794718
2017-12-20 16:40:00,68335.597066,17.09,69.66,0.073,32097.3384,26327.0942,9911.164466
2017-12-20 16:50:00,69756.80155999999,17.04,69.83,0.074,32717.87072,26511.19975,10527.73109
2017-12-20 17:00:00,72256.09470999999,17.09,70.8,0.072,33015.96958,27398.58852,11841.53661
2017-12-20 17:10:00,77655.49103,17.0,72.3,0.073,34336.12167,29316.9684,14002.40096
2017-12-20 17:20:00,84446.27123000001,16.89,72.6,0.072,37244.10646,31868.67137,15333.4934
2017-12-20 17:30:00,89402.54149999999,16.79,72.7,0.073,39890.4943,33706.0448,15806.0024
2017-12-20 17:40:00,89605.66633349999,16.65,73.2,0.073,40243.34601,33734.94937349999,15627.37095
2017-12-20 17:50:00,89738.19934349999,16.54,73.6,0.074,40243.34601,33734.94937349999,15759.90396
2017-12-20 18:00:00,89938.6165435,16.43,73.0,0.077,40328.51711,33734.94937349999,15875.15006
2017-12-20 18:10:00,90714.68727349999,16.47,72.4,0.073,40730.03802,33734.94937349999,16249.69988
2017-12-20 18:20:00,90568.3802335,16.44,73.8,0.073,40687.45247,33734.94937349999,16145.97839
2017-12-20 18:30:00,90430.08491349999,16.4,74.9,0.073,40687.45247,33734.94937349999,16007.68307
2017-12-20 18:40:00,90131.6647135,16.36,75.9,0.072,40383.26996,33734.94937349999,16013.44538
2017-12-20 18:50:00,90020.89553349999,16.3,75.8,0.069,40358.93536,33734.94937349999,15927.0108
2017-12-20 19:00:00,90577.9767735,16.32,75.8,0.068,40650.95057,33734.94937349999,16192.07683
2017-12-20 19:10:00,90407.33513349999,16.3,76.1,0.069,40584.03042,33734.94937349999,16088.35534
2017-12-20 19:20:00,89896.6517735,16.23,76.0,0.069,40188.59316,33734.94937349999,15973.10924
2017-12-20 19:30:00,89364.80344349999,16.23,75.9,0.067,39610.64639,33734.94937349999,16019.20768
